# Truth or Dare - Authorized Users
# Format: Character Name@World
# Lines starting with # are comments

Naemona Anemone@Golem
Kirin Avenleigh@Malboro
Leonie Avenleigh@Malboro
Mistress Maggie@Lamia
Craiye Zi@Famfrit
Shin Wolfy@Brynhildr
Arturia Rainsong@Malboro
Hexie Nox'atora@Seraph
Saki Dotharl@Zalera
Raziel Kainhurst@Mateus
Weiss Katze@Golem
Lord Teensy@Seraph
Kimber Vox@Faerie
Kimber Katts@Malboro
Kit Vox@Mateus
Fell Wuck@Cactaur
Xaldric Oronir@Balmung
Murphyanne Solana@Coeurl
Minky Gobbler@Coeurl
Shar Lunaru@Brynhildr
Tiraldric Eversong@Malboro
Colwren Hotgo@Malboro
Riley Valdis@Siren
Eve Angelic@Balmung
Charles Cadence@Jenova
No'ra Rahz@Balmung
Snow Goddess@Coeurl
Kera Nox'atora@Seraph
